route_id,month,scheduled_flights,operated_flights,cancelled_flights,on_time_flights,delayed_15_45_min,delayed_45_90_min,delayed_90plus_min,otp_pct,cancellation_pct,avg_load_factor,passengers,avg_total_fare_inr,revenue_inr,atf_price_per_liter,fuel_consumed_liters,fuel_cost_inr,total_op_cost_inr,operating_profit_inr,profit_margin_pct,available_seat_km,revenue_pax_km
DEL-BOM,2024-01-01,682,664,18,477,117,56,14,71.84,2.64,0.9072,108427,8855.0,960170593,94.31,3359013,316797553,833677771,126492822,13.17,167328000,151797800
DEL-BOM,2024-02-01,638,621,17,467,85,50,19,75.2,2.66,0.8844,98854,8449.0,835248466,93.63,3015558,282358903,743049745,92198721,11.04,156492000,138395600
DEL-BOM,2024-03-01,682,668,14,468,119,55,26,70.06,2.05,0.8678,104350,8108.0,846059220,92.05,3280087,301936593,794569982,51489238,6.09,168336000,146090000
DEL-BOM,2024-04-01,660,643,17,448,111,57,27,69.67,2.58,0.8635,99938,8144.0,813942440,92.49,3119930,288558389,759364182,54578258,6.71,162036000,139913200
DEL-BOM,2024-05-01,682,665,17,449,134,62,20,67.52,2.49,0.8998,107711,8593.0,925512520,89.25,3372593,301016847,792149597,133362923,14.41,167580000,150795400
DEL-BOM,2024-06-01,660,632,28,374,150,75,33,59.18,4.24,0.8341,94883,7937.0,753122976,89.66,3180044,285114760,750302000,2820976,0.37,159264000,132836200
DEL-BOM,2024-07-01,682,648,34,378,151,72,47,58.33,4.99,0.8386,97816,7413.0,725147617,87.56,3163595,277001585,728951539,-3803922,-0.52,163296000,136942400
DEL-BOM,2024-08-01,682,654,28,403,145,74,32,61.62,4.11,0.8339,98165,7308.0,717342509,87.89,3331872,292844675,770643882,-53301373,-7.43,164808000,137431000
DEL-BOM,2024-09-01,660,640,20,428,117,67,28,66.88,3.03,0.8724,100497,8077.0,811669183,91.15,3087034,281367788,740441547,71227636,8.78,161280000,140695800
DEL-BOM,2024-10-01,682,670,12,493,113,53,11,73.58,1.76,0.8842,106641,8371.0,892741717,92.65,3281713,304055543,800146166,92595551,10.37,168840000,149297400
DEL-BOM,2024-11-01,660,647,13,485,103,47,12,74.96,1.97,0.9043,105319,8938.0,941304766,93.08,3214425,299211229,787397971,153906795,16.35,163044000,147446600
DEL-BOM,2024-12-01,682,664,18,474,114,54,22,71.39,2.64,0.931,111278,9630.0,1071587820,94.96,3288490,312277622,821783216,249804604,23.31,167328000,155789200
DEL-BLR,2024-01-01,496,484,12,351,79,41,13,72.52,2.42,0.9003,78434,9496.0,744775534,94.1,2982334,280633437,738509045,6266489,0.84,151588800,136475160
DEL-BLR,2024-02-01,464,453,11,337,73,31,12,74.39,2.37,0.8912,72666,8883.0,645509554,93.97,2805783,263673222,693876900,-48367346,-7.49,141879600,126438840
DEL-BLR,2024-03-01,496,487,9,353,77,38,19,72.48,1.81,0.8836,77452,7920.0,613403236,92.01,2948250,271265075,713855461,-100452225,-16.38,152528400,134766480
DEL-BLR,2024-04-01,480,471,9,327,81,40,23,69.43,1.88,0.8681,73595,8087.0,595172976,92.72,2884261,267438027,703784282,-108611306,-18.25,147517200,128055300
DEL-BLR,2024-05-01,496,483,13,328,100,42,13,67.91,2.62,0.877,76244,8771.0,668764800,90.08,2840953,255909606,673446332,-4681532,-0.7,151275600,132664560
DEL-BLR,2024-06-01,480,461,19,298,90,44,29,64.64,3.96,0.8477,70341,7433.0,522821839,89.74,2787285,250134406,658248437,-135426598,-25.9,144385200,122393340
DEL-BLR,2024-07-01,496,470,26,278,110,59,23,59.15,5.24,0.8568,72488,7560.0,548002334,86.68,2849604,246999455,649998566,-101996232,-18.61,147204000,126129120
DEL-BLR,2024-08-01,496,477,19,282,108,58,29,59.12,3.83,0.8114,69666,7653.0,533144045,88.25,2829466,249714098,657142363,-123998318,-23.26,149396400,121218840
DEL-BLR,2024-09-01,480,465,15,318,95,38,14,68.39,3.12,0.8506,71195,8174.0,581917761,90.14,2876943,259334405,682458961,-100541200,-17.28,145638000,123879300
DEL-BLR,2024-10-01,496,485,11,350,85,40,10,72.16,2.22,0.8707,76013,8223.0,625078454,92.95,3004182,279231829,734820603,-109742149,-17.56,151902000,132262620
DEL-BLR,2024-11-01,480,471,9,349,71,34,17,74.1,1.88,0.9063,76833,9026.0,693503519,93.84,2897401,271885121,715487161,-21983642,-3.17,147517200,133689420
DEL-BLR,2024-12-01,496,484,12,336,84,48,16,69.42,2.42,0.9335,81328,9388.0,763503861,94.63,2868607,271452032,714347453,49156408,6.44,151588800,141510720
DEL-MAA,2024-01-01,372,361,11,262,61,27,11,72.58,2.96,0.8983,58372,8732.0,509721768,95.13,2216351,210840734,554844037,-45122269,-8.85,114364800,102734720
DEL-MAA,2024-02-01,348,339,9,253,53,25,8,74.63,2.59,0.8871,54128,8207.0,444222661,92.6,2019446,186994664,492091221,-47868560,-10.78,107395200,95265280
DEL-MAA,2024-03-01,372,365,7,268,62,29,6,73.42,1.88,0.8802,57826,8003.0,462777747,92.96,2207259,205193037,539981676,-77203929,-16.68,115632000,101773760
DEL-MAA,2024-04-01,360,351,9,241,64,28,18,68.66,2.5,0.8571,54155,8064.0,436732661,92.79,2181386,202402033,532636929,-95904268,-21.96,111196800,95312800
DEL-MAA,2024-05-01,372,363,9,251,62,36,14,69.15,2.42,0.9057,59177,8929.0,528411638,90.04,2242666,201933542,531404058,-2992420,-0.57,114998400,104151520
DEL-MAA,2024-06-01,360,347,13,204,91,39,13,58.79,3.61,0.8526,53251,7638.0,406704820,88.5,2124042,187984958,494697258,-87992438,-21.64,109929600,93721760
DEL-MAA,2024-07-01,372,355,17,207,91,49,8,58.31,4.57,0.8407,53721,7434.0,399353852,86.89,2178777,189304399,498169471,-98815619,-24.74,112464000,94548960
DEL-MAA,2024-08-01,372,355,17,219,80,37,19,61.69,4.57,0.8362,53432,7512.0,401397828,88.61,2201002,195033052,513244874,-111847046,-27.86,112464000,94040320
DEL-MAA,2024-09-01,360,348,12,250,62,30,6,71.84,3.33,0.8714,54588,7864.0,429276454,90.92,2084935,189564611,498854239,-69577785,-16.21,110246400,96074880
DEL-MAA,2024-10-01,372,365,7,269,58,24,14,73.7,1.88,0.9178,60298,8060.0,486000135,91.31,2220285,202725759,533488839,-47488704,-9.77,115632000,106124480
DEL-MAA,2024-11-01,360,354,6,264,51,26,13,74.58,1.67,0.8914,56801,8529.0,484457696,94.14,2088416,196611164,517397800,-32940104,-6.8,112147200,99969760
DEL-MAA,2024-12-01,372,362,10,246,70,35,11,67.96,2.69,0.9057,59015,9653.0,569653410,95.35,2159986,205952858,541981205,27672205,4.86,114681600,103866400
DEL-HYD,2024-01-01,434,424,10,305,66,39,14,71.93,2.3,0.9161,69914,6969.0,487221436,95.19,1829030,174110129,458184550,29036886,5.96,95400000,87392500
DEL-HYD,2024-02-01,406,398,8,291,65,33,9,73.12,1.97,0.8749,62676,6871.0,430663126,93.93,1776196,166845709,439067655,-8404529,-1.95,89550000,78345000
DEL-HYD,2024-03-01,434,423,11,315,64,29,15,74.47,2.53,0.8952,68161,6060.0,413059755,91.23,1818326,165892908,436560284,-23500529,-5.69,95175000,85201250
DEL-HYD,2024-04-01,420,410,10,292,70,30,18,71.22,2.38,0.8311,61336,6014.0,368847822,91.58,1796840,164555487,433040755,-64192933,-17.4,92250000,76670000
DEL-HYD,2024-05-01,434,421,13,277,88,37,19,65.8,3.0,0.9173,69513,6827.0,474545259,88.95,1892022,168297836,442889042,31656217,6.67,94725000,86891250
DEL-HYD,2024-06-01,420,404,16,249,86,47,22,61.63,3.81,0.8508,61873,6056.0,374704605,89.19,1785650,159265247,419119071,-44414466,-11.85,90900000,77341250
DEL-HYD,2024-07-01,434,411,23,231,107,53,20,56.2,5.3,0.8382,62008,5931.0,367771978,88.27,1852382,163510970,430292026,-62520048,-17.0,92475000,77510000
DEL-HYD,2024-08-01,434,415,19,245,95,47,28,59.04,4.38,0.8229,61473,5608.0,344758207,88.88,1847555,164210100,432131842,-87373635,-25.34,93375000,76841250
DEL-HYD,2024-09-01,420,405,15,269,85,43,8,66.42,3.57,0.8501,61969,6166.0,382113080,89.95,1814807,163245256,429592779,-47479699,-12.43,91125000,77461250
DEL-HYD,2024-10-01,434,425,9,315,65,34,11,74.12,2.07,0.8966,68587,6686.0,458598377,92.64,1862033,172495471,453935450,4662927,1.02,95625000,85733750
