cardholder_id,segment,age_band,state,credit_limit,open_date
1,Gold,55-64,North Carolina,38000,2019-08-08
2,Entry,35-44,Georgia,4500,2019-06-18
3,Green,25-34,Florida,19500,2021-09-26
4,Green,45-54,Ohio,15500,2020-12-02
5,Platinum,35-44,Florida,83000,2023-04-23
6,Platinum,45-54,Massachusetts,82000,2021-02-16
7,Platinum,25-34,Wisconsin,73000,2019-02-22
8,Green,45-54,New Jersey,11000,2020-12-22
9,Green,35-44,Florida,11000,2023-09-19
10,Green,35-44,Ohio,11000,2020-05-14
11,Platinum,65+,California,90000,2020-03-16
12,Entry,35-44,Indiana,1500,2019-09-08
13,Green,45-54,New York,11500,2019-06-10
14,Gold,45-54,Pennsylvania,42500,2020-09-11
15,Gold,25-34,Texas,27000,2021-03-16
16,Gold,45-54,Virginia,34500,2022-02-17
17,Gold,35-44,Georgia,29000,2023-10-22
18,Green,45-54,Florida,16500,2023-08-07
19,Gold,45-54,Georgia,17000,2019-09-11
20,Gold,35-44,Texas,20000,2022-05-27
21,Green,35-44,New Jersey,17000,2022-06-29
22,Platinum,45-54,New York,78000,2020-03-21
23,Gold,35-44,Washington,34500,2020-09-23
24,Gold,45-54,South Carolina,44500,2021-02-14
25,Green,25-34,California,13500,2022-05-26
26,Green,45-54,Illinois,18000,2021-07-28
27,Gold,35-44,Texas,22000,2021-05-19
28,Green,45-54,Kentucky,5500,2021-11-10
29,Green,25-34,Florida,17500,2023-05-01
30,Platinum,35-44,Texas,55500,2019-06-10
31,Green,45-54,Virginia,8500,2020-06-23
32,Gold,25-34,Georgia,37500,2019-04-25
33,Platinum,55-64,Oregon,89000,2021-07-15
34,Entry,45-54,Tennessee,7500,2023-05-26
35,Entry,55-64,New Mexico,4500,2020-03-17
36,Green,35-44,California,7500,2023-05-29
37,Gold,18-24,California,23500,2023-10-30
38,Platinum,35-44,Kentucky,82000,2021-01-27
39,Green,35-44,Kansas,11500,2022-10-30
40,Gold,35-44,Illinois,25000,2019-11-06
41,Platinum,45-54,Pennsylvania,71500,2022-10-22
42,Green,45-54,Florida,14500,2019-08-24
43,Platinum,18-24,New Jersey,51500,2023-03-13
44,Entry,45-54,New Jersey,7500,2022-07-14
45,Gold,35-44,Texas,21500,2021-08-15
46,Green,35-44,Illinois,18500,2020-02-09
47,Gold,25-34,Texas,41500,2022-03-21
48,Green,35-44,California,6500,2019-02-24
49,Green,45-54,California,17000,2022-10-15
50,Gold,45-54,Texas,17000,2022-03-11
51,Entry,35-44,California,6000,2023-12-29
52,Green,45-54,Illinois,6000,2020-09-11
53,Entry,25-34,California,6500,2022-01-09
54,Green,55-64,Missouri,18500,2021-11-07
55,Green,45-54,Michigan,5000,2023-01-15
56,Entry,45-54,New Jersey,3500,2022-12-30
57,Platinum,35-44,Arizona,46500,2019-12-23
58,Gold,25-34,Massachusetts,25500,2022-11-04
59,Platinum,35-44,California,66000,2019-10-12
60,Gold,35-44,California,32000,2022-12-22
61,Gold,35-44,New Hampshire,20500,2021-01-15
62,Gold,25-34,Florida,31500,2020-02-04
63,Green,45-54,California,13000,2021-12-01
64,Gold,25-34,Texas,25500,2019-12-05
65,Gold,55-64,Nevada,34500,2021-07-31
66,Green,25-34,Texas,12000,2021-01-03
67,Platinum,65+,Pennsylvania,49000,2021-10-26
68,Green,65+,Massachusetts,19500,2023-11-10
69,Platinum,35-44,Mississippi,59500,2020-04-11
70,Entry,65+,California,5000,2021-05-27
71,Green,55-64,Ohio,15000,2023-10-14
72,Gold,25-34,North Dakota,28000,2020-12-14
73,Platinum,65+,California,41500,2019-10-28
74,Green,18-24,California,9000,2020-02-08
75,Green,25-34,California,9000,2019-11-25
76,Green,45-54,Ohio,12000,2021-08-12
77,Green,25-34,Florida,12000,2019-03-28
78,Platinum,25-34,Michigan,87000,2023-06-27
79,Gold,65+,North Carolina,15500,2022-02-28
80,Platinum,65+,North Carolina,66000,2021-07-11
81,Green,45-54,Ohio,9500,2019-01-21
82,Green,35-44,Rhode Island,9000,2023-02-15
83,Gold,55-64,Georgia,25500,2021-02-03
84,Platinum,25-34,California,63500,2023-11-07
85,Gold,65+,Florida,21500,2019-08-13
86,Gold,35-44,New Jersey,40500,2023-04-21
87,Green,55-64,Arizona,9000,2019-07-03
88,Green,45-54,Virginia,9500,2022-10-27
89,Green,65+,Alabama,15500,2019-04-09
90,Green,55-64,Pennsylvania,12000,2020-07-09
91,Platinum,55-64,California,84000,2023-01-06
92,Green,45-54,New Hampshire,6000,2023-12-12
93,Green,55-64,Pennsylvania,16000,2023-01-29
94,Green,45-54,California,13000,2020-11-22
95,Green,25-34,Georgia,7500,2021-03-05
96,Green,45-54,Washington,14500,2023-04-01
97,Green,25-34,North Carolina,8000,2020-06-18
98,Gold,55-64,Mississippi,35000,2021-05-12
99,Platinum,18-24,Florida,95500,2021-05-26
100,Platinum,65+,California,83000,2019-10-30
101,Platinum,35-44,Alabama,67000,2023-10-14
102,Green,25-34,Texas,16000,2023-06-21
103,Gold,65+,Tennessee,24000,2019-07-21
104,Green,18-24,Texas,6500,2022-06-19
105,Entry,35-44,Wisconsin,1500,2020-05-13
106,Gold,45-54,Kentucky,17500,2023-01-17
107,Gold,35-44,California,44000,2021-10-22
108,Green,35-44,Texas,13000,2020-08-21
109,Gold,45-54,Louisiana,30500,2021-01-05
110,Platinum,65+,New Jersey,70500,2022-11-29
111,Gold,25-34,California,18000,2023-11-05
112,Platinum,25-34,Texas,71000,2022-06-05
113,Entry,35-44,Illinois,2000,2020-10-02
114,Green,35-44,Indiana,15500,2022-12-23
115,Green,35-44,Texas,17000,2022-06-03
116,Green,25-34,Colorado,13500,2020-09-05
117,Green,35-44,California,17000,2021-02-09
