cardholder_id,month,mcc_category,spend_amount
1,2024-01-01,Dining & restaurants,319.92
2,2024-01-01,Dining & restaurants,81.57
3,2024-01-01,Dining & restaurants,247.41
4,2024-01-01,Dining & restaurants,129.52
5,2024-01-01,Dining & restaurants,807.65
6,2024-01-01,Dining & restaurants,742.21
7,2024-01-01,Dining & restaurants,615.14
8,2024-01-01,Dining & restaurants,187.63
9,2024-01-01,Dining & restaurants,171.3
10,2024-01-01,Dining & restaurants,293.77
11,2024-01-01,Dining & restaurants,935.3
12,2024-01-01,Dining & restaurants,111.2
13,2024-01-01,Dining & restaurants,249.19
14,2024-01-01,Dining & restaurants,307.18
15,2024-01-01,Dining & restaurants,184.86
16,2024-01-01,Dining & restaurants,870.31
17,2024-01-01,Dining & restaurants,145.68
18,2024-01-01,Dining & restaurants,630.18
19,2024-01-01,Dining & restaurants,395.5
20,2024-01-01,Dining & restaurants,646.89
21,2024-01-01,Dining & restaurants,363.58
22,2024-01-01,Dining & restaurants,369.25
23,2024-01-01,Dining & restaurants,162.12
24,2024-01-01,Dining & restaurants,569.65
25,2024-01-01,Dining & restaurants,167.0
26,2024-01-01,Dining & restaurants,388.25
27,2024-01-01,Dining & restaurants,493.66
28,2024-01-01,Dining & restaurants,42.84
29,2024-01-01,Dining & restaurants,139.68
30,2024-01-01,Dining & restaurants,738.83
31,2024-01-01,Dining & restaurants,394.65
32,2024-01-01,Dining & restaurants,356.73
33,2024-01-01,Dining & restaurants,528.22
34,2024-01-01,Dining & restaurants,75.11
35,2024-01-01,Dining & restaurants,85.05
36,2024-01-01,Dining & restaurants,89.79
37,2024-01-01,Dining & restaurants,336.2
38,2024-01-01,Dining & restaurants,926.87
39,2024-01-01,Dining & restaurants,112.88
40,2024-01-01,Dining & restaurants,1411.54
41,2024-01-01,Dining & restaurants,570.32
42,2024-01-01,Dining & restaurants,97.61
43,2024-01-01,Dining & restaurants,521.24
44,2024-01-01,Dining & restaurants,84.98
45,2024-01-01,Dining & restaurants,202.14
46,2024-01-01,Dining & restaurants,869.6
47,2024-01-01,Dining & restaurants,136.51
48,2024-01-01,Dining & restaurants,365.56
49,2024-01-01,Dining & restaurants,155.66
50,2024-01-01,Dining & restaurants,139.59
51,2024-01-01,Dining & restaurants,173.24
52,2024-01-01,Dining & restaurants,285.0
53,2024-01-01,Dining & restaurants,73.48
54,2024-01-01,Dining & restaurants,251.4
55,2024-01-01,Dining & restaurants,111.57
